nouns, e.g.	Ncsmn
articles, e.g.	Tdsm
gach	Dq
prepositions	Sp
+ article	Spa-s
personal	Pr3p
seo	Pd
aspectualizers	Sa, Sap3sm (ga)
fossilized noun	Nf (airson, aonais, feadh)
complement of is	Uf (unless it's an adjective, as in poetry: Ap)
conjunctions	Cc, Cs
adjectives	Ap (predicative), Av (e.g. ceangailte), Aq, Aq-smn (attributive)
verbal noun	Nv
verb past	V-s
verb present	V-p
verb future	V-f
… dependent	V-f--d
… relative	V-f--r
verb habitual	V-h
adverbs	Rt (temporal), Rg (degree), Rs (spatial)
-	Fb
.	Fe
,	Fi
prefix	Uo
particle interrogative	Qq
past 'do'	Q--s
cha/nach	Qn
pronouns	Pp3p, Px (fhèin)
possessive	Dp3p
a	Q-r (relative), Ug (infinitivalizer)
gu	Qa (gu bheil), Wpdia (gun urrainn)
numerals	Mc
numerical pronouns	Pn
's	Wp-i
'Se	Wp-i-3
'Sann	Wp-i-x
chan	Wp-in
bu	Ws
superlative as	Wpr
