[3],X
ach,Cc
bha,V-s
e,Pp
neònach,Ap

nach,Q
do,Q
test,Xfe
iad,Pp
na,Td
leis,Sp
a',Td
vet,Xfe
-,F

cha,Q
robh,V-s
duine,Nc
airson,Nf
an,Dp
ceannach,Nv

nan,Q
robh,V-h
na,Td
laoigh,Nc
annta,Pr

[1],X
cha,Q
robh,V-s
còir,Nc
aca,Pr
an,Q
robh,V-s
idir,Rg
na,Td
tairbh,Nc
a,U
leigeil,Nv
cuide,Sp
riutha,Pr
co-dhiubh,Rg

bha,V-s
a',Td
chuid,Nc
a,Q
b',Ws
fhearr,Ap
an,Td
dà,M
tharbh,Nc
air,Sa
an,Dp
cumail,Nv
ann an,Sp
geata,Nc

cupa,Nc
math,Aq
tea,Xfe
eh,I
?,F

[2],X
àidh,I
",",F
bha,V-s
mi,Pp
',Sa
fàs,Nv
gu,U
math,Rg
cadalach,Ap
a's,Sp
a',Td
chàr,Nc

[1],X
tha,V-p
an,Td
t-,U
astar,Nc
gu,U
math,Rg
fada,Ap
suas,Rs
a-siud,Rs

bocadaich,Nv
suas,Rs
's,Cc
sìos,Rs

[3],X
rinn,V-s
mi,Pp
fhèin,Px
cadal,Nc
math,Aq
air,Sp
an,Td
rathad,Nc
dhachaidh,Rs
co-dhiubh,Rg
-,F

dhùin,V-s
mi,Pp
mo,Dp
shùilean,Nc
san,Sp
deireadh,Nc

[1],X
cha,Q
mheantraiginn-sa,V-h
mo,Dp
shùilean,Nc
a,U
dhùnadh,Nv
idir,Rg

[2],X
a,Q
bheil,V-p
sibh,Pp
ag,Sa
iarraidh,Nv
bioscuit,Nc
?,F

[1],X
chan,Q
eil,V-p

[3],X
ciamar,U
a,Q
chaidh,V-s
do,Sp
dh',U
[Name],Nn
air,Sp
a,Dp
chuairt,Nc
san,Sp
Eilean,Nc
?,F

[4],X
ò,I
math,Ap
gu,U
leòr,Rg

dh',U
fhuirich,V-s
e,Pp
ann am,Sp
B&B,Y

[3],X
càite,U
?,F

[4],X
[Placename],Nt
I,Xfe
suppose,Xfe

[2],X
cò mheud,U
a,Q
bh',V-s
ann,Pr
-,F
[Name],Nn
agus,Cc

[4],X
[Name],Nn
agus,Cc
[Name],Nn

[2],X
ceathrar,Nc
–,F
triùir,Nc

[3],X
cò,U
th',V-p
ann an,Sp
[Name],Nn
?,F

[4],X
chan,Q
eil,V-p
fhios,Nc
a'm,Pr

[1],X
cò,U
bh',V-s
ann an,Sp
[Name],Nn

an,Wp
e,Pp
gill',Nc
Èireannach,Aq

a,Q
bha,V-s
ann,Pr
?,F

[4],X
Mc,U
[Name],Nn

a,Q
th',V-p
ann,Pr

[1],X
bha,V-s
e,Pp
seo,Rs
reimhe,Rt
nach,Q
robh,V-s
uaireigin,Rt
?,F

[4],X
uh,I
huh,I
uh,I
huh,I

[4],X
rinn,V-s
mi,Pp
cupa,Nc
eile,Aq
ann a shin,Rs

[3],X
dè,U
thuirt,V-s
thu,Pp
?,F

[4],X
rinn,V-s
mi,Pp
cupa,Nc
eile,Aq
ann a shin,Rs

[3],X
'g,Sa
iarraidh,Nv
feadhainn,Nc
dhiubh,Pr
siud,Dd
?,F

[1],X
feuch,Vm
dhomh,Pr
aonan,Nc

cò mheud,U
tunna,Nc
feòir,Nc

a,Q
bh',V-s
ann,Pr
?,F

[3],X
chan,Q
eil,V-p
fhios,Nc
a'm,Pr

bidh,V-f
tha,V-p
mi,Pp
creidsinn,Nv

[1],X
ceithir,M
deug,M
ann,Pr
am,Q
bi,V-f
?,F

[3],X
sia,M
deug,M
no,Cc
seachd,M
deug,M
tha,V-p
mi,Pp
a',Sa
creidsinn,Nv

[1],X
bidh,V-f
na,Td
làmhan,Nc
aig,Sp
cuideigin,Nc
gu,U
math,Rg
goirt,Aq

mus,Cs
bi,V-f
sinn,Pp
deiseil,Ap

a,Q
bheil,V-p
thusa,Pp
dol,Nv
a,U
dhèanamh,Nv
haymakers,Xfe
a,U
[Name],Nn
?,F

[4],X
ò,I
chan,Q
eil,V-p

[1],X
bha,V-s
mise,Pp
a',Sa
faighinn,Nv
putag,Nc
a h-uile,Dq
triop,Nc

a,Q
bha,V-s
thu,Pp
a',Sa
ceannach,Nv
beathach,Nc
air,Sp
an,Td
t-,U
sale,Xfe
DR,Y

[3],X
dè,U
tha,V-p
an,Td
duine,Nc
ud,Dd
a',Sa
ciallachadh,Nv
?,F
!,F

[1],X
an,Q
d',Q
fhuair,V-s
thu,Pp
test,Xfe
air,Sp
a',Td
van,Xfe
dearg,Aq

an,Q
do,Q
chuir,V-s
thu,Pp
suas,Rs
fhathast,Rt
e,Pp
?,F

[3],X
an,Td
seal,Xfe

a,Q
fhuair,V-s
sinn,Pp
air,Sp
a,Dp
son,Nf

's,Wp
e,Td
an,Nc
taobh,Aq

a,Q
bh',V-s
ann,Pr

[1],X
a,U
shìorraidh,I

[3],X
tha,V-p
e,Pp
thall,Rs
aig,Sp
[Name],Nn
Beag,Aq

tha,V-p
e,Pp
dol,Nv
dhan,Sp

[1],X
cò,U
aig,Pr
a,Q
fhuair,V-s
thu,Pp
sin,Pd
?,F

[3],X
M's,Y

chan,Q
eil,V-p
cuimhne,Nc
a'm,Pr

bha,V-s
còir,Nc
a'm,Pr
a,U
bhith,Nv
air,Sa
brakes,Xfe
òrdachadh,Nv
cuideachd,Rg

ach,Cc
dhìochuimhnich,V-s
mi,Pp

[2],X
tha,V-p
coltas,Nc

bha,V-s
duine,Nc
ann a shiud,Rs
às,Sp
na,Td
h-,U
eileanan,Nc
às,Sp
a h-uile,Dq
h-,U
eilean,Nc
à,Sp
Leòdhas,Nt
agus,Cc
à,Sp
tìr-mòr,Nc

[1],X
am,Q
faca,V-s
tu,Pp
an,Td
Leòdhasach,Nc
ud,Dd
roimhe,Rt
a-bhos,Rs
M,Y
?,F

[3],X
chan,Q
fhaca,V-s
mi,Pp
idir,Rg
an-diugh,Rt
e,Pp

dè,U
'n,Td
duine,Nc

a,Q
bh',V-s
ann,Pr
?,F

[1],X
duine,Nc
dorcha,Aq

[3],X
ò,I

[1],X
dìreach,Rg
an,Td
aghaidh,Nc
aige,Pr
gu,U
math,Rg
[?],X

[3],X
cha,Q
chreid,V-f
mi,Pp

gum,Q
faca,V-s
mi,Pp
idir,Rg
e,Pp

[1],X
bhiodh,V-h
e,Pp
toilichte,Ap
faighinn,Nv
beothaichean,Nc
saor,Aq

[3],X
mm,I
?,F

[1],X
bhiodh,V-h
e,Pp
toilichte,Ap
faighinn,Nv
beothaichean,Nc
saor,Aq

[3],X
tha,V-p
mi,Pp
creidsinn,Nv

gu,Q
robh,V-s
iad,Pp
ceart,Rg
cho,Rg
saor,Ap
shuas,Rs
aige,Pr
fhèin,Px

[1],X
dè,U
?,F

's,Wp
dòcha,U

gu,Q
robh,V-s

an,Q
do,Q
dh',U
fhàg,V-s
thu,Pp
an,Td
còrr,Nc
tea,Nc
a,U
[Name],Nn
?,F

[4],X
tha,V-p
cupa,Nc
eile,Aq
ann a shin,Rs

[1],X
eh,I
?,F

[4],X
cupa,Nc
extra,Xfe

[1],X
ò,I
ma-thà,I
òlaidh,V-f
mise,Pp
an,Td
cupa,Nc
extra,Xfe

[1],X
nì,V-f
e,Pp
test,Xfe
eile,Aq
math,Rg
gu,U
leòr,Rg

[3],X
tha,V-p
[Name],Nn
a',Sa
ràdh,Nv

g',Q
eil,V-p
i,Pp
coimhead,Nv
glè,Rg
mhath,Rg
co-dhiubh,Rg

[1],X
tha,V-p
e,Pp
coimhead,Nv
glè,Rg
mhath,Rg

bhiodh,V-h
i,Pp
handy,Xfe
seach,Sp
an,Td
càr,Nc
co-dhiubh,Rg

[3],X
ach,Cc
'se,Wp
an,Td
càr,Nc
as,Wp
cofhurtail,Ap

[1],X
'se,Wp

ach,Cc
a,Sp
thaobh,Nc
beathach,Nc
a,U
chur,Nv
ann,Pr
no,Cc
an,Td
leithid,Nc
sin,Dd

[3],X
tha,V-p
a,Dp
leithid,Nc
sineach,Dd
ach,Cc

ma,Cs
tha,V-p
trèilear,Nc
beag,Aq
agad,Pr
air,Sp
a',Td
chàr,Nc

chan,Q
eil,V-p
thu,Pp
cho,Rg
dona,Ap
dheth,Pr
nas,U
motha,Ap

tha,V-p
an,Td
doras,Nc
a',Sa
falbh,Nv
air,Sp
a',Td
chàr,Nc

feumaidh,V-f
e,Pp
a,U
bhith,Nv
air,Sa
a,Dp
weld-adh,Nv
air,Pr

[4],X
a,Q
bheil,V-p
sibh,Pp
ag,Sa
iarraidh,Nv

[1],X
feuch,Vm
dha,Sp
d',Dp
athair,Nc
tuilleadh,Nc
tì,Nc

[3],X
no,Xfe
chan,Q
eil,V-p
mi,Pp
ag,Sa
iarraidh,Nv
an,Td
còrr,Nc

[4],X
chan,Q
eil,V-p

[1],X
chan,Q
eil,V-p
thu,Pp
ag,Sa
iarraidh,Nv
an,Td
còrr,Nc

cuir,Vm
ann,Pr
e,Pp
ma-thà,I
a,U
[Name],Nn

dè,U
mu,Sp
dheidhinn,Nf
[Name],Nn
?,F

[4],X
fhuair,V-s
esan,Pp

[3],X
feumaidh,V-f
sinn,Pp
falbh,Nv
an ceart-uair,Rt
co-dhiubh,Rg

mus,Cs
caill,V-f
sinn,Pp
mus,Cs
caill,V-f
sinn,Pp
na,Td
bargainean,Nc
suas,Rs
a-sin,Rs

[1],X
dè,U
tha,V-p
dùil,Nc
agad,Pr
ri,Sa
a,U
cheannach,Nv

[3],X
ò,I
mur,Cs
an,Q
ceannaich,V-f
sinn,Pp

[1],X
horse,Xfe
box,Xfe

[3],X
turbo-mowers,Xfe

[1],X
ò,I
na,Q
ceannaich,Vm
sin,Pd
ge brith,Cs
dè,U

a,Q
nì,V-f
thu,Pp

[3],X
ciamar,U
?,F

[1],X
chaidh,V-s
e,Pp
sin,Dd
a,U
mhilleadh,Nv
cho,Rg
luath,Rg

's,Cc
a,Q
thàinig,V-s
e,Pp

[3],X
an,Q
deachaidh,V-s
?,F

[1],X
[Name],Nn
[Name],Nn
a,Q
thug,V-s
an,Td
dhi,Pr

[3],X
ò,I

sin,Pd
a,Q
bha,V-s
ri,Sa
ràdh,Nv
co-dhiubh,Rg

gun,Q
do,Q
mhill,V-s
e,Pp
i,Pp
cho,Rg
luath,Rg

[3],X
ged,Cs
nach,Q
milleadh,V-h

tha,V-p
mi,Pp
creidsinn,Nv
le,Sp
a,U
