form,lemma
# demonyms
Albannaich,Albannach
Basgaich,Basgach
Beàrnaraich,Beàrnarach
Beàrnaraich,Beàrnaraich
Breatannaich,Breatannach
Caimbeulaich,Caimbeulach
Deamaich,Deamach
Èireannaich,Èireannach
Gàidheil,Gàidheal
Gaidheil,Gaidheal
Nàiseantaich,Nàiseantach
Sasannaich,Sasannach
Tearaich,Tearach
Uibhistich,Uibhisteach
# specials
aodainn,aodann
ainmeannan,ainm
bailtean,baile
bàtaichean,bàta
beanntan,beinn
beathaichean,beathach
bilean,bile
bliadhnaichean,bliadhna
buidheannan,buidheann
buill,ball
busaichean,bus
choin,cù
còirichean,còir
daoine,duine
drugaichean,druga
ealain,ealan
eich,each
eileanan,eilean
facail,facal
faclan,facal
fiaclan,fiacal
fir,fear
fuinn,fonn
gillean,gille
làithean,làtha
linntean,linn
notaichean,not
obraichean,obair
òran,òran
paraistean,paraiste
planaichean,plana
puirt,port
rannan,rann
seòmraichean,seòmra
seòrsachan,seòrsa
seòrsaichean,seòrsa
sgìrean,sgìre
sgoiltean,sgoil
sparran,spàrr
teaghlaichean,teaghlach
# obliques
'ille,gille
athar,athair
bidhe,biadh
bùird,bòrd
cinn,ceann
cnuic,cnoc
coin,cù
cois,cas
èisg,iasg
mic,mac
Mic,mac
obrach,obair
seòid,seud
taighe,taigh
tighe,tigh
uamha,uamh
