regex,lemma
a',ag
g,ag
aga(m|d|inn|ibh)e?|aige|aice|aca|a'[dm],aig
or[mt]|oir(re|bh|nn)|orra,air
son,airson
s?a[mn],an
sa?,an
'nar,an
n,an
na[dmn]?,an
[au]nn(am|ta),an
innte,an
a?'s,an
anns?,an
às,as
as.*,as
ais.+,as
ás?,as
(bh)?o,bho
(bh)?ua(m|t|ithe),bho
ea.*,eadar
fo.*,fo
ch[ou]n,gu
(th?)?ui[cg]e,gu
(th?)?uga(m|d|inn|ibh),gu
(th?)?uca,gu
dh?(en?|io[mt]|[ei]th|inn|iu?bh),de
dh(à|am|i|[oò]mh|ui?t|u'|uinn|an?|[au]ib[h']),do
le.*,le
u(ime|mad),mu
ri(um|ut(ha)?|s|the|nn),ri
ru.*,ri
r',ri
re.*,ro
ro.*,ro
tha.*,thar
tron,tro
