form,xpos,form1,upos1,xpos1,form2,upos2,xpos2
as,Spa-s,anns,ADP,Sp,an,ADP,Sp
bhon,Spa-s,bho,ADP,Sp,an,DET,Tds
chun,Spa-s,gu,ADP,Sp,an,DET,Tds
den,Spa-s,de,ADP,Sp,an,DET,Tds
dhan,Spa-s,do,ADP,Sp,an,DET,Tds
dhen,Spa-s,de,ADP,Sp,an,DET,Tds
don,Spa-s,do,ADP,Sp,an,DET,Tds
fon,Spa-s,fo,ADP,Sp,an,DET,Tds
gun,Spa-s,gu,ADP,Sp,an,DET,Tds
man,Spa-s,mu,ADP,Sp,an,DET,Tds
mun,Spa-s,mu,ADP,Sp,an,DET,Tds
on,Spa-s,o,ADP,Sp,an,DET,Tds
o'n,Spa-s,o,ADP,Sp,an,DET,Tds
ron,Spa-s,ro,ADP,Sp,an,DET,Tds
'sa,Spa-s,anns,ADP,Sp,an,ADP,Sp
'sa',Spa-s,anns,ADP,Sp,an,ADP,Sp
sa,Spa-s,anns,ADP,Sp,an,ADP,Sp
sa',Spa-s,anns,ADP,Sp,an,ADP,Sp
'san,Spa-s,anns,ADP,Sp,an,ADP,Sp
san,Spa-s,anns,ADP,Sp,an,ADP,Sp
tron,Spa-s,tro,ADP,Sp,an,DET,Tds
'sna,Spa-p,anns,ADP,Sp,na,ADP,Sp
sna,Spa-p,anns,ADP,Sp,na,ADP,Sp
bhon,Spv,bho,ADP,Sp,an,PART,Qq
dam,Spv,do,ADP,Sp,am,PART,Qq
dham,Spv,do,ADP,Sp,am,PART,Qq
dhe,Spv,de,ADP,Sp,am,PART,Qq
do'm,Spv,do,ADP,Sp,am,PART,Qq
don,Spv,do,ADP,Sp,an,PART,Qq
sa,Spv,anns,ADP,Sp,a,PART,Q-r
'sa,Spv,anns,ADP,Sp,a,PART,Q-r
'sam,Spv,anns,ADP,Sp,am,PART,Qq
sam,Spv,anns,ADP,Sp,am,PART,Qq
'san,Spv,anns,ADP,Sp,an,PART,Qq
san,Spv,anns,ADP,Sp,an,PART,Qq
