abair	ràdh
àicheidh	àicheadh
àitich	àiteach
bi	bhith
beir	breith
càirich	càradh
dìrich	dìreadh
èirich	èirigh
fuirich	fuireach
ceannaich	ceannach
fuadaich	fuadach
iasgaich	iasgach
rach	dol
smaoinich	smaointinn
coisinn	cosnadh
iomair	iomradh
sruigheil	sruighleadh
coisich	coiseachd
leighis	leigheas
thig	tighinn
toirmisg	toirmeasg
toir		toirt
caomhain	caomhnadh
cluich	cluiche
cùm	cumail
fàg	fàgail
lean	leanail
tog	togail
leig	leigeil
cluinn	cluinnteil	cluinntinn
cairt	cartadh
cuir	chur
cuir	cur
bris	briseadh	bristeadh
brùth	bruthadh
casgair	casgradh
buin	buntainn
dùin	dùnadh
caisg	casgadh
loisg	losgadh
faighnich	faighneachd
fairich		faireachdainn
feum		feumachdainn
gàir	gàireachdainn
èigh	èigheachd
èist	èisteachd	èisdeachd	éisteachd
mair	maireachdainn
ruig	ruigheachd	ruighinn
faigh	faighinn
faod	faotainn
ith	ithe
laigh	laighe
caith	caitheamh
feith	feitheamh
seas	seasamh
feuch	feuchainn
gabh	gabhail
brìodail	brìodal
ceangail	ceangal
cuir	cur
tadhail	tadhal
caill	call
amhairc	amharc
amais	amas
blais	blasad	blasadh
gluais	gluasad
cagair	cagar
cagair	cagarsaich
cagair	cagartaich
iarr	iarraidh
inns	innse
obraich	obair
agair	agairt
bagair	bagairt
tachair	tachairt
thoir	toirt
tataidh	tatadh
tionndaidh	tionndadh
ath-giullaich	ath-giollachd
tuit	tuiteam
